id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,orien_etiq,orien,num_poste,num_ope,fid,geo_point_2d
147,Grenoble,38185,"Grande Rue","Grande Rue",20200929,20200929,179,169,259,350,541,842,768,884,904,1136,1225,1096,1498,6855,8353,300,979,1225,"17h00 - 18h00",169,"08h00 - 09h00",,,1001,"OPE 221",82,"45.191802000019, 5.728427"
148,Grenoble,38185,"Rue de la Poste","Rue de la Poste",20200929,20200929,73,115,113,293,325,372,374,394,431,516,535,444,919,3066,3985,184,438,535,"17h00 - 18h00",73,"07h00 - 08h00",,,1002,"OPE 221",83,"45.18960200001899, 5.727289999999998"
149,Grenoble,38185,"Rue de Bonne","Rue de Bonne",20200929,20200929,147,209,281,523,578,652,674,666,839,896,956,775,1738,5458,7196,348,780,956,"17h00 - 18h00",147,"07h00 - 08h00",,,1003,"OPE 221",84,"45.18967200001901, 5.726799000000001"
150,Grenoble,38185,"Boulevard Agutte Sembat","Boulevard Agutte Sembat",20200929,20200929,146,236,230,252,303,382,313,247,241,291,394,450,1167,2318,3485,233,331,450,"18h00 - 19h00",146,"07h00 - 08h00",,,1004,"OPE 221",85,"45.188636000019, 5.725862999999999"
151,Grenoble,38185,"Boulevard Gambetta","Boulevard Gambetta",20200929,20200929,108,186,147,221,239,303,266,221,295,314,432,350,901,2181,3082,180,312,432,"17h00 - 18h00",108,"07h00 - 08h00",,,1005,"OPE 221",86,"45.189659000019006, 5.722282999999999"
152,Grenoble,38185,"Cours Jean Jaurès","Cours Jean Jaurès",20200929,20200929,2131,1996,1307,1354,1258,1975,1723,1489,1918,2417,3038,2435,8046,14995,23041,1609,2142,3038,"17h00 - 18h00",1258,"11h00 - 12h00",,,1006,"OPE 221",87,"45.18939300001902, 5.719509999999999"
153,Grenoble,38185,"Avenue Alsace Lorraine","Avenue Alsace Lorraine",20200929,20200929,702,627,464,462,546,765,717,685,681,726,967,842,2801,5383,8184,560,769,967,"17h00 - 18h00",462,"10h00 - 11h00",,,1007,"OPE 221",88,"45.189698000019014, 5.718375"
154,Grenoble,38185,"Quai Perrière","Quai Perrière",20200929,20200929,28,55,47,69,72,59,41,49,53,59,83,103,271,447,718,54,64,103,"18h00 - 19h00",28,"07h00 - 08h00",,,1008,"OPE 221",89,"45.19435700001899, 5.7275659999999995"
155,Grenoble,38185,"Ter Quai Stéphane Jay","Ter Quai Stéphane Jay",20200929,20200929,79,88,75,79,71,128,100,101,106,151,152,227,392,965,1357,78,138,227,"18h00 - 19h00",71,"11h00 - 12h00",,,1009,"OPE 221",90,"45.193185000019, 5.726464999999999"
156,Grenoble,38185,"Pont de la Porte de France","Pont de la Porte de France",20200929,20200929,129,203,156,171,207,267,202,220,226,268,377,473,866,2033,2899,173,290,473,"18h00 - 19h00",129,"07h00 - 08h00",,,1010,"OPE 221",91,"45.192821000019, 5.720084999999999"
157,Grenoble,38185,"Pont Marius Gontard","Pont Marius Gontard",20200929,20200929,58,71,71,76,81,111,80,83,87,114,145,221,357,841,1198,71,120,221,"18h00 - 19h00",58,"07h00 - 08h00",,,1011,"OPE 221",92,"45.19313300001899, 5.724042"
158,Grenoble,38185,"Pont Saint-Laurent","Pont Saint-Laurent",20200929,20200929,100,82,139,149,203,202,196,173,207,259,294,354,673,1685,2358,135,241,354,"18h00 - 19h00",82,"08h00 - 09h00",,,1012,"OPE 221",93,"45.19443000001899, 5.729133"
159,Grenoble,38185,"Pont de la Citadelle","Pont de la Citadelle",20200929,20200929,92,96,65,73,64,92,87,85,73,86,115,106,390,644,1034,78,92,115,"17h00 - 18h00",64,"11h00 - 12h00",,,1013,"OPE 221",94,"45.19511000001901, 5.730335999999999"
160,Grenoble,38185,"Cours Berriat","Cours Berriat",20200929,20200929,411,383,282,437,504,570,449,453,636,739,1045,885,2017,4777,6794,403,682,1045,"17h00 - 18h00",282,"09h00 - 10h00",,,1014,"OPE 221",95,"45.18794800001901, 5.720505000000001"
161,Grenoble,38185,"Carrefour Victor Hugo / Edouard Rey / Molière","Carrefour Victor Hugo / Edouard Rey / Molière",20200929,20200929,1103,958,952,1304,1392,1788,1669,1795,2046,2147,2585,2295,5709,14325,20034,1142,2046,2585,"17h00 - 18h00",952,"09h00 - 10h00",,,1015,"OPE 221",96,"45.18964500001899, 5.724743999999999"
162,Grenoble,38185,"Place de l'Etoile","Place de l'Etoile",20200929,20200929,236,412,466,631,691,755,642,630,811,826,835,824,2436,5323,7759,487,760,835,"17h00 - 18h00",236,"07h00 - 08h00",,,1016,"OPE 221",97,"45.18786700001901, 5.728626"
163,Grenoble,38185,"Cours Berriat","Cours Berriat",20200929,20200929,166,368,338,402,487,532,424,325,350,468,671,663,1761,3433,5194,352,490,671,"17h00 - 18h00",166,"07h00 - 08h00",,,1017,"OPE 221",98,"45.188431000018994, 5.712154999999999"
164,Grenoble,38185,"Rue Général Mangin","Rue Général Mangin",20200929,20200929,19,22,35,25,19,31,21,17,24,35,42,50,120,220,340,24,31,50,"18h00 - 19h00",17,"14h00 - 15h00",,,1018,"OPE 221",99,"45.17731800001903, 5.717974999999998"
165,Grenoble,38185,"Avenue Jean Perrot","Avenue Jean Perrot",20200929,20200929,29,68,53,73,58,53,62,58,60,93,118,93,281,537,818,56,77,118,"17h00 - 18h00",29,"07h00 - 08h00",,,1019,"OPE 221",100,"45.17233500001906, 5.739084999999999"
166,Grenoble,38185,"Rue Lesdiguieres","Rue Lesdiguieres",20200929,20200929,214,266,230,382,391,393,371,337,416,431,609,665,1483,3222,4705,397,460,665,"18h00 - 19h00",214,"07h00 - 08h00",,,1020,"OPE 221",101,"45.185582000019004, 5.72316"
167,Grenoble,38185,"Boulevard maréchal Lyautey","Boulevard maréchal Lyautey",20200929,20200929,260,436,280,383,416,551,547,452,572,637,708,579,1775,4046,5821,355,578,708,"17h00 - 18h00",260,"07h00 - 08h00",,,1021,"OPE 221",102,"45.185469000019026, 5.731211999999999"
168,Grenoble,38185,"Boulevard Agutte Sembat","Boulevard Agutte Sembat",20200929,20200929,194,345,285,350,357,408,390,455,574,545,596,528,1531,3496,5027,306,499,596,"17h00 - 18h00",194,"07h00 - 08h00",,,1022,"OPE 221",103,"45.18651200001902, 5.728224"
169,GIERES,38179,"PASSAGE DES TREILLES","PASSAGE DES TREILLES",20210119,20210119,50,39,21,25,24,46,28,32,60,78,53,27,159,324,483,32,46,78,"16h00 - 17h00",21,"09h00 - 10h00",,,P01,"OPE 258",104,"45.18166300001903, 5.781338"
170,GIERES,38179,"RUE DU DR VALOIS","RUE DU DR VALOIS",20210119,20210119,3,16,8,9,11,16,20,15,22,32,16,6,47,127,174,9,18,32,"16h00 - 17h00",3,"07h00 - 08h00",,,P02,"OPE 258",105,"45.18046800001904, 5.784797000000001"
171,GIERES,38179,"AVENUE D'URIAGE","AVENUE D'URIAGE",20210119,20210119,26,41,26,22,28,24,45,26,49,68,59,40,143,311,454,29,44,68,"16h00 - 17h00",22,"10h00 - 11h00",,,P03,"OPE 258",106,"45.18096700001902, 5.788541"
