id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,e_7h_8h,e_8h_9h,e_9h_10h,e_10h_11h,e_11h_12h,e_12h_13h,e_13h_14h,e_14h_15h,e_15h_16h,e_16h_17h,e_17h_18h,e_18h_19h,e_tot_am,e_tot_pm,e_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
206,Grenoble,38185,"rue anatole france","rue anatole france",20210506,20210506,8,15,3,4,6,4,11,3,6,8,12,4,36,48,84,7,7,15,"08h00 - 09h00",3,"09h00 - 10h00","OPE 269-P02","OPE 269",42,"45.17353000001905, 5.711691999999998"
207,Grenoble,38185,"cours de la libération","cours de la libération",20210506,20210506,14,14,10,6,11,7,13,8,16,14,14,14,55,86,141,11,12,16,"15h00 - 16h00",6,"10h00 - 11h00","OPE 269-P01","OPE 269",43,"45.172781000019036, 5.713767"
208,VIF,38545,"place des 11 otages","place des 11 otages",20210506,20210506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 268-P07B","OPE 268",44,"45.05507400001938, 5.668978"
209,VIF,38545,"place des 11 otages","place des 11 otages",20210506,20210506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 268-P07A","OPE 268",45,"45.05507400001938, 5.668978"
210,VIF,38545,"rue champollion","rue champollion",20210506,20210506,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"08h00 - 09h00",0,"09h00 - 10h00","OPE 268-P06B","OPE 268",46,"45.055112000019385, 5.669334000000002"
211,VIF,38545,"rue champollion","rue champollion",20210506,20210506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 268-P06A","OPE 268",47,"45.055112000019385, 5.669334000000002"
212,VIF,38545,"rue du portail rouge","rue du portail rouge",20210506,20210506,0,4,1,0,0,0,0,0,0,0,0,0,5,0,5,1,0,4,"08h00 - 09h00",1,"09h00 - 10h00","OPE 268-P05","OPE 268",48,"45.053345000019384, 5.671117999999998"
33,Grenoble,38185,"Grande Rue","Grande Rue",20190926,20190926,4,2,3,0,2,6,10,5,6,10,16,16,11,69,80,2,10,16,"17h00 - 18h00",0,"10h00 - 11h00","OPE 160-1001","OPE 160",49,"45.191802000019, 5.728427"
34,Grenoble,38185,"Rue de la Poste","Rue de la Poste",20190926,20190926,2,2,0,0,3,3,0,3,3,0,1,4,7,14,21,1,2,4,"18h00 - 19h00",0,"09h00 - 10h00","OPE 160-1002","OPE 160",50,"45.18960200001899, 5.727289999999998"
35,Grenoble,38185,"Rue de Bonne","Rue de Bonne",20190926,20190926,2,3,2,2,1,3,4,7,5,10,8,5,10,42,52,2,6,10,"16h00 - 17h00",1,"11h00 - 12h00","OPE 160-1003","OPE 160",51,"45.18967200001901, 5.726799000000001"
36,Grenoble,38185,"Boulevard Agutte Sembat","Boulevard Agutte Sembat",20190926,20190926,12,21,12,6,10,12,21,9,17,24,25,33,61,141,202,12,20,33,"18h00 - 19h00",6,"10h00 - 11h00","OPE 160-1004","OPE 160",52,"45.188636000019, 5.725862999999999"
37,Grenoble,38185,"Boulevard Gambetta","Boulevard Gambetta",20190926,20190926,57,69,32,26,45,61,55,34,28,30,19,25,229,252,481,46,36,69,"08h00 - 09h00",19,"17h00 - 18h00","OPE 160-1005","OPE 160",53,"45.189659000019006, 5.722282999999999"
38,Grenoble,38185,"Cours Jean Jaurès","Cours Jean Jaurès",20190926,20190926,18,26,14,8,11,15,24,9,15,19,25,13,77,120,197,15,17,26,"08h00 - 09h00",8,"10h00 - 11h00","OPE 160-1006","OPE 160",54,"45.18939300001902, 5.719509999999999"
39,Grenoble,38185,"Avenue Alsace Lorraine","Avenue Alsace Lorraine",20190926,20190926,33,39,20,16,8,20,7,3,5,18,16,13,116,82,198,23,12,39,"08h00 - 09h00",3,"14h00 - 15h00","OPE 160-1007","OPE 160",55,"45.189698000019014, 5.718375"
40,Grenoble,38185,"Quai Perrière","Quai Perrière",20190926,20190926,5,15,0,9,1,1,2,1,6,9,8,7,30,34,64,6,5,15,"08h00 - 09h00",0,"09h00 - 10h00","OPE 160-1008","OPE 160",56,"45.19435700001899, 5.7275659999999995"
41,Grenoble,38185,"Quai Stéphane Jay","Quai Stéphane Jay",20190926,20190926,2,1,2,2,0,6,4,1,1,1,2,5,7,20,27,1,3,6,"12h00 - 13h00",0,"11h00 - 12h00","OPE 160-1009","OPE 160",57,"45.193185000019, 5.726464999999999"
42,Grenoble,38185,"Pont de la Porte de France","Pont de la Porte de France",20190926,20190926,7,11,1,13,9,5,7,1,6,15,20,16,41,70,111,8,10,20,"17h00 - 18h00",1,"09h00 - 10h00","OPE 160-1010","OPE 160",58,"45.192821000019, 5.720084999999999"
43,Grenoble,38185,"Pont Marius Gontard","Pont Marius Gontard",20190926,20190926,1,1,0,0,0,3,1,2,4,3,1,4,2,18,20,0,3,4,"15h00 - 16h00",0,"09h00 - 10h00","OPE 160-1011","OPE 160",59,"45.19313300001899, 5.724042"
44,Grenoble,38185,"Pont Saint-Laurent","Pont Saint-Laurent",20190926,20190926,2,0,1,1,7,0,0,3,6,6,8,7,11,30,41,2,4,8,"17h00 - 18h00",0,"08h00 - 09h00","OPE 160-1012","OPE 160",60,"45.19443000001899, 5.729133"
45,Grenoble,38185,"Pont de la Citadelle","Pont de la Citadelle",20190926,20190926,2,2,2,0,1,5,2,0,0,1,3,0,7,11,18,1,2,5,"12h00 - 13h00",0,"10h00 - 11h00","OPE 160-1013","OPE 160",61,"45.19511000001901, 5.730335999999999"
46,Grenoble,38185,"Cours Berriat","Cours Berriat",20190926,20190926,6,11,7,8,3,10,12,3,6,10,18,14,35,73,108,7,10,18,"17h00 - 18h00",3,"11h00 - 12h00","OPE 160-1014","OPE 160",62,"45.18794800001901, 5.720505000000001"
47,Grenoble,38185,"Carrefour Victor Hugo / Edouard Rey / Molière","Carrefour Victor Hugo / Edouard Rey / Molière",20190926,20190926,0,2,0,1,1,3,9,9,12,2,3,0,4,38,42,1,5,12,"15h00 - 16h00",0,"07h00 - 08h00","OPE 160-1015","OPE 160",63,"45.18964500001899, 5.724743999999999"
48,Grenoble,38185,"Place de l'Etoile","Place de l'Etoile",20190926,20190926,2,8,44,45,3,5,5,8,2,7,7,23,102,57,159,20,8,45,"10h00 - 11h00",2,"07h00 - 08h00","OPE 160-1016","OPE 160",64,"45.18786700001901, 5.728626"
49,Grenoble,38185,"Cours Berriat","Cours Berriat",20190926,20190926,9,11,4,2,2,7,7,6,5,7,8,6,28,46,74,6,7,11,"08h00 - 09h00",2,"10h00 - 11h00","OPE 160-1017","OPE 160",65,"45.188431000018994, 5.712154999999999"
213,VIF,38545,"rue du portail rouge","rue du portail rouge",20210506,20210506,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"09h00 - 10h00",0,"08h00 - 09h00","OPE 268-P04","OPE 268",66,"45.05307200001938, 5.673017"
214,VIF,38545,"avenue de rivalta di torino","avenue de rivalta di torino",20210506,20210506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 268-P03B","OPE 268",67,"45.05355100001938, 5.675389"
215,VIF,38545,"avenue de rivalta di torino","avenue de rivalta di torino",20210506,20210506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 268-P03A","OPE 268",68,"45.05355100001938, 5.675389"
50,Grenoble,38185,"Rue Général Mangin","Rue Général Mangin",20190926,20190926,3,4,1,1,1,1,0,0,0,5,8,4,10,18,28,2,3,8,"17h00 - 18h00",0,"13h00 - 14h00","OPE 160-1018","OPE 160",69,"45.17731800001903, 5.717974999999998"
51,Grenoble,38185,"Avenue Jean Perrot","Avenue Jean Perrot",20190926,20190926,5,4,1,0,0,4,3,3,3,8,8,1,10,30,40,2,4,8,"16h00 - 17h00",0,"10h00 - 11h00","OPE 160-1019","OPE 160",70,"45.17233500001906, 5.739084999999999"
52,Grenoble,38185,"Rue Lesdiguieres","Rue Lesdiguieres",20190926,20190926,12,7,9,6,6,7,11,9,9,10,16,18,40,80,120,8,11,18,"18h00 - 19h00",6,"10h00 - 11h00","OPE 160-1020","OPE 160",71,"45.185582000019004, 5.72316"
53,Grenoble,38185,"Boulevard maréchal Lyautey","Boulevard maréchal Lyautey",20190926,20190926,13,16,10,5,14,9,9,6,16,19,18,25,58,102,160,12,15,25,"18h00 - 19h00",5,"10h00 - 11h00","OPE 160-1021","OPE 160",72,"45.185469000019026, 5.731211999999999"
