mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
688,"45.1722175124526,5.74267379566721",2,"nouveau modèle",19900101000000
689,"45.1716962269168,5.74275980125025",2,"nouveau modèle",19900101000000
690,"45.1725791392683,5.74253177723112",2,"nouveau modèle",19900101000000
691,"45.1724769198448,5.74339568822333",4,"nouveau modèle",19900101000000
692,"45.1725005162194,5.74299361272455",2,"nouveau modèle",19990101000000
693,"45.1710653613634,5.74066039351615",2,"nouveau modèle",19900101000000
694,"45.1706006023997,5.74520064417448",5,"nouveau modèle",20050101000000
695,"45.1718664855198,5.74683769652095",5,"nouveau modèle",20050101000000
696,"45.1750046115509,5.74964054876702",4,"nouveau modèle",20030101000000
697,"45.1678913491477,5.73234282241971",3,"nouveau modèle",20060101000000
698,"45.1672848423511,5.73263998578359",5,"nouveau modèle",20070101000000
699,"45.1672564514497,5.73281965590547",1,"nouveau modèle",20030101000000
700,"45.1666557983368,5.731022058054",2,"nouveau modèle",19900101000000
701,"45.1563847743473,5.73448793445226",7,"nouveau modèle",20080101000000
702,"45.1563768408546,5.73407304139729",15,"nouveau modèle",20080101000000
703,"45.1570684691541,5.73418962888333",13,"nouveau modèle",20020101000000
704,"45.1571383716755,5.7349695008416",14,"nouveau modèle",20020101000000
705,"45.1570963662522,5.73352618885602",8,"nouveau modèle",20050101000000
706,"45.1595938259953,5.73291339714821",8,"nouveau modèle",20120101000000
707,"45.1598721261011,5.73384365248586",2,"nouveau modèle",20030101000000
708,"45.1598679815683,5.73430219421196",2,"nouveau modèle",20030101000000
709,"45.1601599200211,5.73296879984405",2,"nouveau modèle",20030101000000
710,"45.1600826880435,5.73404190519828",2,"nouveau modèle",20030101000000
711,"45.1604506007448,5.73506433636889",5,"nouveau modèle",20010101000000
712,"45.1615118140862,5.73747511338971",2,"nouveau modèle",20010101000000
713,"45.1615907822214,5.73560139286727",2,"nouveau modèle",20070101000000
714,"45.1615036418337,5.73393135781031",3,"nouveau modèle",20070101000000
715,"45.1615604658056,5.73697430929134",3,"nouveau modèle",20010101000000
716,"45.1634259441733,5.73241042311829",2,"nouveau modèle",20020101000000
717,"45.1639513374645,5.73253314885099",2,"nouveau modèle",20100101000000
718,"45.1632967715323,5.72737883707222",3,"nouveau modèle",20010101000000
719,"45.1596026224536,5.7275497066215",6,"nouveau modèle",20070101000000
720,"45.1595263123192,5.72706951138559",6,"nouveau modèle",20070101000000
721,"45.1594746535851,5.72786508914909",6,"nouveau modèle",20070101000000
722,"45.1640269312259,5.72767807372036",3,"nouveau modèle",20030101000000
