id,ogc_fid,uid_filaire,x,y,boucle,emplacement,orientation,type,fiabilite,orien_etiq,commentaire,tmja_2022_mois1,tmja_2022_mois2,tmja_2022_mois3,tmja_2022_mois4,tmja_2022_mois5,tmja_2022_mois6,tmja_2022_mois7,tmja_2022_mois8,tmja_2022_mois9,tmja_2022_mois10,tmja_2022_mois11,tmja_2022_mois12,tmja_2022_moistmja_2022,fid,geo_point_2d
331,78,799ab263-2d1d-4b15-932f-fe8c17bf9449,1915660,4224477,331,"Rue Jules Flandrin",-138,"double droit large","Inutilisable pour les comptages",42,"Différence avec ponctuel (-17%) / Observation terrain PC feux",5150.854838709678,5310.660714285714,5550.064516129031,5874.733333333334,6480.31451612903,8370.26851851852,5310.870967741935,5175.217741935484,6080.216666666666,5922.725806451614,6085.924999999999,5894.322580645161,5933.847933378848,92,"45.187389006576005, 5.744883060425429"
1183,86,8fc48f80-39c6-4257-b45d-514efc32fed5,1915438,4224710,1183,"Jean Pain /RD 1090",-138,"tourne a gauche","Inutilisable pour les comptages",44,"Observation terrain PC feux",1487.9274193548388,1662.8392857142853,1598.3790322580642,1852.7500000000002,1837.6774193548388,2166.4629629629626,1869.6209677419354,1760.2903225806454,1922.5500000000002,1844.2338709677417,1661.108333333333,1685.8790322580644,1779.1432205438925,93,"45.18955433954505, 5.74216015848679"
1191,93,3c691336-12c3-4e24-b77c-699537977dca,1915776,4225050,1191,"Avenue de Verdun",-136,"double droit etroit","Inutilisable pour les comptages",41,"Différence avec ponctuel (+185%) / Observation terrain PC feux",5432.193548387097,5980.044642857145,6246.9112903225805,5836.658333333331,5895.887096774194,7405.740740740743,5402.66935483871,4425.387096774194,6163.4,5807.096774193547,5900.291666666668,5760.06451612903,5854.695421751437,94,"45.192507552252906, 5.746599655880124"
824,54,fac1071d-7b7d-4670-94dc-17387aa636c6,1915211,4222876,824,"Rue Paul Claudel",256,"simple droit","Bonne fiabilite. Utilisable pour les comptages",12,"Validation par comparaison avec comptage ponctuel",1.8709677419354838,0.8928571428571428,11,2.7750000000000004,2.935483870967742,895.3333333333333,7.790322580645161,8.32258064516129,3.041666666666667,5.911290322580645,116.63333333333333,3.758064516129032,88.35540834613414,95,"45.17312973798633, 5.738483415331305"
71,104,78a1ae71-63fe-4a7b-8e86-a062ebcec6ed,1914526,4223967,71,"Boulevard Joffre",57,"triple droit","Bonne fiabilite. Utilisable pour les comptages",35,"Validation par comparaison avec comptage ponctuel",7652.830645161291,8035.330357142856,8308.411290322581,7758.341666666669,7818.16935483871,10396.777777777777,6980.354838709676,6160.548387096773,7761.816666666667,7756.145161290323,7819.4833333333345,7652.508064516129,7841.726461960233,96,"45.18315221497972, 5.730234219985176"
62,105,1428e7b2-619c-42ca-bec7-4cfb958bf21d,1914477,4223958,62,Joffre,237,"double droit etroit","Inutilisable pour les comptages",28,"Différence avec les ponctuels (-50%)",124.19354838709677,0,7.258064516129032,122.5,25.806451612903224,2697.2222222222226,23.387096774193548,17.741935483870968,6.666666666666667,29.838709677419352,40.833333333333336,13.70967741935484,259.09647550776583,97,"45.18308316562651, 5.729616626356269"
1197,91,8645606c-5b60-4243-8935-b855205f8899,1915702,4225089,1197,"Avenue du Grand Sablon",207,"droit large",Inconnue,59,"A valider",2574.0322580645166,2625.964285714286,2635.048387096774,2506.7249999999995,2594.9758064516136,3163.453703703704,2452.862903225807,2241.7661290322576,2651.3666666666663,2589.645161290322,2634.816666666667,2491.1774193548385,2596.8195322722872,98,"45.19288514753629, 5.745679616075197"
1194,95,4b01f4c0-4aac-49ef-bf84-adf35c03d072,1915689,4224951,1194,"Avenue de Verdun",-319,"tourne a gauche","Bonne fiabilite. Utilisable pour les comptages",49,"Validation par comparaison avec comptage ponctuel",1720.25,1714.1339285714282,1752.3709677419356,1653.8666666666663,1711.6451612903222,2235.083333333333,1556.2499999999998,1493.975806451613,1752.8,1771.072580645161,1771.0333333333333,1695.8870967741939,1735.6974062339987,99,"45.19164365042324, 5.74545754294762"
112,98,d3fb8fc1-83cf-409c-a75b-aaed94846325,1915124,4224492,112,"J Pain",56,"triple droit","Inutilisable pour les comptages",35,"Différence avec ponctuel (-25%)",14975.927419354835,17023.19642857143,15753.177419354839,16558.533333333333,17027.991935483868,18243.342592592588,11348.032258064517,9291.935483870966,11695.383333333333,11326.435483870968,11419.333333333334,11259.34677419355,13826.886316279799,100,"45.187690346689536, 5.738072102939685"
101,101,6e0ae96a-7213-4bbf-bce6-888b650f636e,1914676,4224234,101,"Jean Pain / Chavant",239,"triple droit","Inutilisable pour les comptages",31,"Différence avec ponctuel (-40%)",10392.943548387095,10202.973214285714,10732.733870967744,10497.508333333333,10540.137096774191,13178.99074074074,12025.572580645161,11401.096774193546,10590.349999999997,10386.137096774193,10543.666666666668,10162.475806451612,10887.882144101666,101,"45.18550792694205, 5.732259743219029"
