geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,type,commune,epci,nb_pmr,nb_velo,nb_covoit,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
"45.179581,5.695704",SEYSSINET PARISET - HÔTEL DE VILLE,38485,"Rue Lamartine, 38170, Seyssinet-Pariset",tous,,75,75,255,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Seyssinet-Pariset,LaMetro,,,,,,,,,
"45.16609,5.690739",SEYSSINS - LE PRISME,38486,"Avenue de Grenoble, 38180, Seyssins",tous,,120,120,330,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Seyssins,LaMetro,2.0,,,,,,,,
"45.299699,5.992206",THEYS_HALLE_DES_SPORTS,38504,"Le Lusson, 38570, Theys",tous,1.0,40,0,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Theys,LeGresivaudan,,,,,,,,,
"45.198759,5.750686",LA TRONCHE - GRAND SABLON,38516,"4 avenue de l’Obiou, 38700, La Tronche",tous,,232,232,190,30150323100039,normal_payant,,,,,,,ouvrage,parking,La Tronche,LaMetro,,,,,,,,,
"45.050038,5.671031",VIF - LA VALONNE,38545,"Boulevard de la Résistance, 38450, Vif",tous,1.0,71,71,190,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Vif,LaMetro,2.0,,,,,,,,
"45.047859,5.6855",VIF - GARE,38545,"Avenue de la Gare, 38450, Vif",tous,1.0,20,20,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Vif,LaMetro,0.0,0.0,,,,,,,
"45.085798,5.743566",JARRIE - VIZILLE - GARE,38200,"Allée de la Croix de la Vue, 38560, Jarrie",tous,1.0,34,34,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Jarrie,LaMetro,0.0,0.0,,,,,,,
"45.043806,5.701652",ST-GEORGES-DE-COMMIERS - GARE,38388,"Rue de la gare, 38450, St-Georges-de-Commiers",tous,1.0,28,28,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Saint-Georges-de-Commiers,LaMetro,2.0,0.0,,,,,,,
"45.262894,5.901989",GARE DE BRIGNOUD,38547,"Avenue Robert Huant, 38190, Villard-Bonnot",tous,1.0,115,115,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Villard-Bonnot,LeGresivaudan,,,,,,,,,
"45.23479,5.88171",GARE DE LANCEY,38547,"Avenue des Papeteries, 38190, Villard-Bonnot",tous,1.0,118,118,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Villard-Bonnot,LeGresivaudan,,,,,,,,,
