id,geo_point_2d,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,url_arrete,url_site,geo_shape
TRONROUT0000000008039370,"45.18168832,5.7798862",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.7798862,45.18168832],[5.78016266,45.18163729],[5.78046197,45.18158478]]}"
TRONROUT0000000008039371,"45.18158478,5.78046197",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78046197,45.18158478],[5.78089707,45.18152169],[5.78117288,45.18148328],[5.78122478,45.18147658]]}"
TRONROUT0000000008039373,"45.18157894,5.7812388",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.7812388,45.18157894],[5.78111328,45.18159108]]}"
TRONROUT0000000008039374,"45.1815707,5.78138871",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78138871,45.1815707],[5.78131755,45.18157428],[5.7812388,45.18157894]]}"
TRONROUT0000000008039376,"45.18159108,5.78111328",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78111328,45.18159108],[5.78063769,45.18165969],[5.780394,45.1817036],[5.78013522,45.18175149],[5.77973242,45.18182369]]}"
TRONROUT0000000031548506,"45.18237728,5.77772672",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77772672,45.18237728],[5.77771576,45.18238746],[5.77764389,45.18242799],[5.77755698,45.18244817],[5.77746256,45.18244512]]}"
TRONROUT0000000031548498,"45.18210814,5.77847644",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77847644,45.18210814],[5.77807653,45.18218747],[5.77789436,45.18223886],[5.77776881,45.18230145]]}"
TRONROUT0000000031548499,"45.18230145,5.77776881",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77776881,45.18230145],[5.77776214,45.18234666],[5.77772672,45.18237728]]}"
TRONROUT0000000031548503,"45.18209762,5.77763254",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77763254,45.18209762],[5.77767147,45.18211196],[5.77770458,45.18213727]]}"
TRONROUT0000000031548504,"45.18213727,5.77770458",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77770458,45.18213727],[5.77773242,45.1821591],[5.77776723,45.1822186],[5.77777314,45.18228602],[5.77776881,45.18230145]]}"
TRONROUT0000000031548505,"45.18238818,5.77732468",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77732468,45.18238818],[5.77730624,45.18237603],[5.77726393,45.18231942],[5.77725312,45.18225572],[5.77725644,45.18224572]]}"
TRONROUT0000000031548507,"45.18244512,5.77746256",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77746256,45.18244512],[5.77737592,45.18241934],[5.77732468,45.18238818]]}"
TRONROUT0000000070197218,"45.18216254,5.77730454",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77730454,45.18216254],[5.77733128,45.18213665],[5.77740574,45.18209695],[5.77752459,45.18207868]]}"
TRONROUT0000000070197219,"45.18224572,5.77725644",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77725644,45.18224572],[5.77727539,45.18219119],[5.77730454,45.18216254]]}"
