# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-04-07T00:00:00.000Z,3.95,7.58,5.01,4.66,5.64,0.729,393
2020-04-08T00:00:00.000Z,3.64,9.36,5.41,4.86,6.52,1.235,436
2020-04-09T00:00:00.000Z,3.18,7.44,4.51,4.07,6.05,1.137,384
2020-04-10T00:00:00.000Z,2.66,7.65,3.56,3.21,5.03,1.09,464
2020-04-11T00:00:00.000Z,3.17,4.38,3.72,3.56,3.96,0.273,136
2020-04-12T00:00:00.000Z,3.3,5.12,4.03,3.8,4.25,0.318,480
2020-04-13T00:00:00.000Z,2.38,7.5,4.28,3.48,5.21,1.13,485
2020-04-14T00:00:00.000Z,1.14,7.31,3.35,1.55,5.55,1.992,461
2020-04-15T00:00:00.000Z,1.21,4.24,2.36,1.95,3.62,0.856,443
2020-04-16T00:00:00.000Z,1.42,6.8,2.7,2.06,3.88,1.314,439
2020-04-17T00:00:00.000Z,1.2,5.79,2.02,1.7,2.42,0.813,499
2020-04-18T00:00:00.000Z,1.41,5.87,3.26,2.44,3.87,0.998,507
2020-04-19T00:00:00.000Z,3.09,10.3,6.38,4.29,7.83,1.964,489
2020-04-20T00:00:00.000Z,5.09,11.99,7.68,6.28,9.16,1.695,447
2020-04-21T00:00:00.000Z,3.36,12.2,4.47,4.05,5.94,1.982,338
2020-04-22T00:00:00.000Z,1.45,7.14,3.71,2.81,4.69,1.218,372
2020-04-23T00:00:00.000Z,1.81,5.17,2.5,2.27,2.97,0.557,418
2020-04-24T00:00:00.000Z,1.6,4.59,2.88,2.29,3.44,0.682,473
2020-04-25T00:00:00.000Z,1.68,9.49,2.95,2.46,3.64,1.439,440
2020-04-26T00:00:00.000Z,1.28,20.44,2.84,2.25,3.58,2.313,473
2020-04-27T00:00:00.000Z,0.57,14.84,3.08,2.19,3.97,1.777,461
2020-04-28T00:00:00.000Z,0.05,4.38,0.94,0.6,1.34,0.9,343
2020-04-29T00:00:00.000Z,0,4.42,0.38,0.2,0.71,0.464,435
2020-04-30T00:00:00.000Z,0.5,4.75,1.27,0.85,1.95,0.839,456
2020-05-01T00:00:00.000Z,0.44,5.09,2.08,1.32,2.86,0.96,474
2020-05-02T00:00:00.000Z,0.1,6.34,2.23,0.59,3.66,1.683,472
2020-05-03T00:00:00.000Z,0.1,3.38,0.34,0.22,0.59,0.516,494
2020-05-04T00:00:00.000Z,0.2,2.25,0.8,0.5,1.12,0.413,465
2020-05-05T00:00:00.000Z,0.7,2.71,1.14,1.01,1.4,0.335,435
2020-05-06T00:00:00.000Z,0.66,7.18,1.25,1.01,1.58,1.201,520
2020-05-07T00:00:00.000Z,0.9,4.36,2.06,1.68,2.67,0.777,352
2020-05-08T00:00:00.000Z,1.28,4.17,2.04,1.66,2.66,0.653,319
2020-05-09T00:00:00.000Z,0.8,2.8,1.75,1.37,2,0.438,313
2020-05-10T00:00:00.000Z,1.7,3.54,2.46,2.18,2.77,0.397,215
