type,geo_point_2d,city,name,visible,epci
clusters,"45.25813,5.6595",Fontanil-Cornillon,CROIX DE ROCHETTE,,LaMetro
clusters,"45.25469,5.66167",Fontanil-Cornillon,PALLUEL,,LaMetro
clusters,"45.25496,5.66169",Fontanil-Cornillon,PALLUEL,,LaMetro
clusters,"45.18731,5.73714",Grenoble,Hôtel de Ville,1.0,LaMetro
clusters,"45.19425,5.71862",Grenoble,Porte de France,1.0,LaMetro
clusters,"45.18016,5.70466",Grenoble,Catane,1.0,LaMetro
clusters,"45.18414,5.76851",Saint-Martin-d'Hères,Champ Roman,,LaMetro
clusters,"45.20545,5.70126",Grenoble,Pont d'Oxford,1.0,LaMetro
clusters,"45.198644,5.724519",,Téléphérique Grenoble-Bastille,1.0,LaMetro
clusters,"45.192984,5.726084",,Quai Stéphane Jay,1.0,LaMetro
