plaspe_id,plaspe_type_nom,adresse,plaspe_barrette_id,plaspe_datecre,plaspe_peint_date,plaspe_arrete_num,plaspe_sign_horiz_etat,plaspe_sign_vert_etat,geo_point_2d
4022,Livraison,"2 Rue Ampère",4081,20230425000000,,,"Bon Etat","Bon Etat","45.18795967216268,5.705793019808804"
4021,Livraison,"2 Rue Ampère",4081,20230425000000,,,"Bon Etat","Bon Etat","45.18799870438137,5.705795249778075"
1013,PMR,"3 Rue Paul Claudel",,20110928000000,,,,,"45.17250223897359,5.737070842316287"
4343,"Vélos électriques et trotinettes en libre-service","2 Rue Durand-Savoyat",7399,20230515000000,,,"Bon Etat",,"45.19959628697348,5.713718616869423"
3470,PMR,"17 Rue Aimé Berey",83,20230227000000,,,Dégradé,"Bon Etat","45.18912347861892,5.709479778377757"
3469,PMR,"17 Rue Aimé Berey",83,20230227000000,,,Dégradé,"Bon Etat","45.189041270689664,5.7099705749548395"
3432,"Vélos électriques et trotinettes en libre-service","64 Rue d'Alembert",230,20230209000000,,,"Bon Etat",,"45.18634665097638,5.710868155498875"
4172,"Vélos électriques et trotinettes en libre-service","35 Rue Jean Macé",7174,20230428000000,,,"Bon Etat",,"45.19421312283867,5.714958169756863"
4250,Livraison,"1 Quai Créqui",7292,20230509000000,,,"Bon Etat","Bon Etat","45.192598777479546,5.723993027064205"
1028,Livraison,"12 Avenue Jeanne d'Arc",,20110928000000,,,,,"45.185240553225974,5.743014986723097"
1423,Livraison,"55 Avenue Maréchal Randon",7423,20120914000000,,,"Bon Etat","Bon Etat","45.19430509637023,5.733021728215541"
592,PMR,"2 Chemin de Gordes",4628,,,,"Bon Etat","Bon Etat","45.17553231409973,5.7322169134555185"
1167,Livraison,"4 Boulevard Joseph Vallier",2468,20120403000000,,,"Bon Etat","Bon Etat","45.18046219985973,5.715798387803613"
110,PMR,"1 Quai Claude Brosse",4837,20080717000000,,,"Bon Etat","Bon Etat","45.19426211585981,5.730084398576845"
3603,"Vélos électriques et trotinettes en libre-service","5 Rue Très-Cloîtres",465,20230317000000,,,"Bon Etat",,"45.19286972407488,5.73282514263682"
3602,Livraison,"5 Rue Très-Cloîtres",465,20230317000000,,,"Bon Etat","Bon Etat","45.19289155427765,5.732777412228843"
3601,Livraison,"5 Rue Très-Cloîtres",465,20230317000000,,,"Bon Etat","Bon Etat","45.1929091023877,5.732739044297702"
3625,Livraison,"3 Quai Claude Bernard",3080,20230320000000,,,"Bon Etat","Bon Etat","45.191527741329196,5.7333011200358435"
3624,Livraison,"3 Quai Claude Bernard",3080,20230320000000,,,"Bon Etat","Bon Etat","45.191563181057326,5.7333033561929"
3509,PMR,"17 Rue Farconet",6352,20230306000000,,,"Bon Etat","Bon Etat","45.199082111733254,5.73943750509408"
512,PMR,"10 Boulevard Maréchal Joffre",4523,20230405000000,,,"Bon Etat","Bon Etat","45.18325080081807,5.729931903942832"
408,PMR,"2 Rue Eugène Varlin",875,20230424000000,,,"Bon Etat","Bon Etat","45.180472817714346,5.707028603560258"
41,PMR,"2 Rue Eugène Varlin",7029,20080717000000,,,"Bon Etat","Bon Etat","45.18057602047048,5.707047054136119"
649,PMR,"15 Rue Gaston Letonnelier",1952,,,,"Bon Etat","Bon Etat","45.170446563290966,5.742939115653836"
3916,Livraison,"42 Cours Berriat",6839,20230406000000,,,"Bon Etat","Bon Etat","45.188046703156104,5.7194551421752875"
3915,Livraison,"42 Cours Berriat",6839,20230406000000,,,"Bon Etat","Bon Etat","45.1880436380577,5.71951251176309"
545,PMR,"49 Rue Joseph Bouchayer",1098,20130614000000,,,Dégradé,"Bon Etat","45.17739308871605,5.709107483622395"
3909,Livraison,"30 Cours Berriat",6835,20230406000000,,,"Bon Etat","Bon Etat","45.18798574699615,5.7204774813844494"
1904,Autopartage,"5 Rue de Belgrade",7296,20090201000000,,,"Bon Etat","Bon Etat","45.19186973341753,5.7250733693210405"
4251,Autopartage,"5 Rue de Belgrade",7296,20230509000000,,,"Bon Etat","Bon Etat","45.19188964348683,5.725068243613441"
98,PMR,"12 Rue de Belgrade",556,20080717000000,,,"Bon Etat","Bon Etat","45.19052011398648,5.7248380920925825"
4218,PMR,"12 Rue de Belgrade",556,20230504000000,,,"Bon Etat","Bon Etat","45.190547742797165,5.7248868001908235"
4027,Livraison,"10 D Rue Ampère",7042,20230425000000,,,"Bon Etat","Bon Etat","45.185837825869,5.705667621520401"
4026,Livraison,"10 D Rue Ampère",7042,20230425000000,,,"Bon Etat","Bon Etat","45.1858964459525,5.7056707916069485"
1302,Livraison,"47 Rue de Turenne",830,20151112000000,,,Dégradé,"Bon Etat","45.182841193540185,5.717801949617059"
708,PMR,"82 Avenue La Bruyère",,,,,"Bon Etat","Bon Etat","45.166579584691604,5.728142425212903"
1360,Livraison,"8 Rue Marcel Porte",683,20101201000000,,,Dégradé,"Bon Etat","45.18134957233015,5.728712948033599"
1440,PMR,"18 Rue Guynemer",7726,20230616000000,,,Dégradé,"Bon Etat","45.17583580931667,5.71227314874827"
222,PMR,"45 Cours de la Libération et du Général de Gaulle",7509,20080717000000,,,"Bon Etat","Bon Etat","45.17647589062627,5.715388655190062"
257,PMR,"14 Rue Général Ferrié",699,20080717000000,,,"Bon Etat","Bon Etat","45.17936656984766,5.723648226222558"
4050,"Vélos électriques et trotinettes en libre-service","10 Rue Pierre Sémard",2047,20230425000000,,,"Bon Etat",,"45.18985218733897,5.713295087343161"
4049,"Vélos électriques et trotinettes en libre-service","10 Rue Pierre Sémard",2047,20230425000000,,,"Bon Etat",,"45.18989236909624,5.713243057544912"
4048,"Vélos électriques et trotinettes en libre-service","10 Rue Pierre Sémard",2047,20230425000000,,,"Bon Etat",,"45.1899283127336,5.713196515435505"
3604,Livraison,"22 Rue de l'Alma",2539,20230317000000,,,Dégradé,"Bon Etat","45.19071682745692,5.733571930129631"
1071,Livraison,"22 Rue de l'Alma",2539,20111003000000,,,Dégradé,"Bon Etat","45.190682721269695,5.733505500880953"
3475,PMR,"29 Rue René Thomas",6213,20230227000000,,,"Bon Etat","Bon Etat","45.18971578149111,5.708331667336992"
4188,PMR,"6 Rue d'Arsonval",7221,20230503000000,,,"Bon Etat","Bon Etat","45.19186091710422,5.717664387390967"
1764,PMR,"30 Rue André Maginot",2960,20120601000000,,,"Bon Etat","Bon Etat","45.181805233368735,5.72385374505903"
79,PMR,"2 Rue du Vercors",4515,20080717000000,,,Dégradé,"Bon Etat","45.19101204416036,5.710568239867997"
3830,PMR,"4 Rue Simon Nora",2952,20230404000000,,,"Bon Etat","Bon Etat","45.183013563729276,5.72551375885987"
3829,PMR,"4 Rue Simon Nora",2952,20230404000000,,,"Bon Etat","Bon Etat","45.183029800991186,5.725502824623145"
4240,"Vélos électriques et trotinettes en libre-service","22 Rue Henri Tarze",7262,20230509000000,,,"Bon Etat",,"45.20025633295582,5.710560740068284"
2244,Autopartage,"3 Boulevard Maréchal Joffre",740,20120801000000,,,Dégradé,"Bon Etat","45.18392382406443,5.7321568698803675"
3921,Taxi,"3 Boulevard Maréchal Joffre",740,20230407000000,,,"Bon Etat","Bon Etat","45.18401098544488,5.732361211119247"
3922,Taxi,"3 Boulevard Maréchal Joffre",740,20230407000000,,,"Bon Etat","Bon Etat","45.18404357327743,5.732437610450903"
612,PMR,"3 Boulevard Maréchal Joffre",740,20120801000000,,,"Bon Etat",Absent,"45.183947335771364,5.7322119906069275"
305,PMR,"9 Rue Gaston Letonnelier",4813,20080717000000,,,"Bon Etat","Bon Etat","45.171173113479064,5.7435311303227845"
4232,PMR,"43 Quai de la Graille",3788,20230509000000,,,"Bon Etat","Bon Etat","45.198892756161335,5.714197731145164"
2925,Livraison,"4 Rue du Villard de Lans",7208,20140509000000,,,"Bon Etat","Bon Etat","45.197707459284565,5.713412229426561"
4185,Livraison,"4 Rue du Villard de Lans",7208,20230502000000,,,"Bon Etat","Bon Etat","45.19771079673192,5.713479949017685"
2924,PMR,"6 Rue du Villard de Lans",7209,20140509000000,,,"Bon Etat","Bon Etat","45.19769141254563,5.713246917362597"
1615,Livraison,"54 Rue Émile Gueymard",7155,20130607000000,,,"Bon Etat","Bon Etat","45.19437742697646,5.713913197346993"
764,Livraison,"104 Rue Abbé Grégoire",3528,20140602000000,,,"Bon Etat","Bon Etat","45.18181241829264,5.71133195620645"
3450,PMR,"20 TER Rue Raspail",6146,20220215000000,,,Dégradé,Absent,"45.182624619289825,5.707738674735644"
74,"Vélos électriques et trotinettes en libre-service","20 TER Rue Raspail",6146,20080717000000,,,"Bon Etat",,"45.18272935471121,5.707976415952247"
236,PMR,"65 Boulevard Clemenceau",1641,20080717000000,,,"Bon Etat","Bon Etat","45.18227414882245,5.735443121520554"
1388,Livraison,"30 Rue Docteur Calmette",873,20120910000000,,,Dégradé,"Bon Etat","45.180773282607774,5.70733244932314"
3999,Livraison,"30 Rue Docteur Calmette",873,20230424000000,,,Dégradé,"Bon Etat","45.18077210078624,5.707418369399415"
3838,"Vélos électriques et trotinettes en libre-service","14 Rue André Maginot",2956,20230404000000,,,"Bon Etat",,"45.18225257090523,5.7258330387175675"
3586,"Vélos électriques et trotinettes en libre-service","6 Rue Haxo",444,20230316000000,,,"Bon Etat",,"45.186672834878486,5.734792105738373"
3588,Autopartage,"6 Rue Haxo",444,20230316000000,,,"Bon Etat","Bon Etat","45.186783326807216,5.7347068784271205"
3587,Autopartage,"6 Rue Haxo",444,20230316000000,,,"Bon Etat","Bon Etat","45.18672733718907,5.734749892321976"
3344,Autopartage,"6 Rue Haxo",6554,20151030000000,,,"Bon Etat","Bon Etat","45.18740417913086,5.734227590664052"
826,Livraison,"3 Rue Augereau",868,20230404000000,,,Dégradé,"Bon Etat","45.18336257053771,5.721108636222074"
652,PMR,"20 Rue Gerard Philipe",5824,,,,"Bon Etat","Bon Etat","45.16981428134331,5.734076235379046"
3908,Livraison,"22 Cours Berriat",718,20230406000000,,,"Bon Etat","Bon Etat","45.1879356368062,5.721355401104958"
3907,Livraison,"22 Cours Berriat",718,20230406000000,,,"Bon Etat","Bon Etat","45.18793996293215,5.721266876560412"
3714,Livraison,"18 Rue de Strasbourg",478,20230327000000,,,"Bon Etat","Bon Etat","45.18675986197921,5.731274380962875"
3514,Livraison,"1 A Rue Ernest Calvat",6374,20230308000000,,,Absent,"Bon Etat","45.19827941547922,5.738530655953214"
845,Livraison,"1 A Rue Ernest Calvat",6374,20230308000000,,,Absent,"Bon Etat","45.19824092923653,5.738534718422654"
223,PMR,"126 Cours de la Libération et du Général de Gaulle",5404,20080717000000,,,"Bon Etat","Bon Etat","45.165534726330556,5.711258459865055"
287,PMR,"8 BIS Rue de la Station Ponsard",,20080717000000,,,"Bon Etat","Bon Etat","45.176170826031246,5.738789910791684"
286,PMR,"8 BIS Rue de la Station Ponsard",,20080717000000,,,"Bon Etat","Bon Etat","45.176099563729714,5.738466168000257"
804,Livraison,"36 Rue Nicolas Chorier",222,20230407000000,,,"Bon Etat","Bon Etat","45.18558897899345,5.71167159954365"
4471,"Vélos électriques et trotinettes en libre-service","31 Rue Léo Lagrange",5545,20230619000000,,,"Bon Etat",,"45.17647169532007,5.723356231960183"
311,PMR,"11 Rue Marius Blanchet",4421,20080717000000,,,"Bon Etat","Bon Etat","45.17855071808433,5.7501398888372615"
3818,Livraison,"11 Rue Camille Desmoulins",3560,20230404000000,,,"Bon Etat","Bon Etat","45.18324570735915,5.718187736780538"
3817,Livraison,"11 Rue Camille Desmoulins",3560,20230404000000,,,"Bon Etat","Bon Etat","45.18320363382274,5.718207748755131"
618,PMR,"30 Rue Prosper Merimée",1452,,,,"Bon Etat","Bon Etat","45.173902982222025,5.725438836460038"
159,PMR,"22 Avenue Maréchal Randon",6482,20080717000000,,,"Bon Etat","Bon Etat","45.19786806554807,5.737450121601797"
3445,Livraison,"89 BIS Rue Nicolas Chorier",6122,20230214000000,,,"Bon Etat","Bon Etat","45.1828427531547,5.706706428908743"
3206,PMR,"108 Cours de la Libération et du Général de Gaulle",5724,20140601000000,,,"Bon Etat","Bon Etat","45.16917262018977,5.712244357326572"
3784,"Vélos électriques et trotinettes en libre-service","10 Rue de Turenne",3594,20230403000000,,,"Bon Etat",,"45.184676089693475,5.721304014885574"
3231,PMR,"12 Rue des Arts et Métiers",3943,20140601000000,,,Absent,"Bon Etat","45.18549713794842,5.704497291538236"
614,PMR,"11 Boulevard Maréchal Joffre",6803,20230405000000,,,"Bon Etat","Bon Etat","45.182888490450296,5.729702233046611"
4171,Livraison,"2 Rue Jean Macé",3351,20230428000000,,,"Bon Etat","Bon Etat","45.19189005848173,5.7163573742359866"
316,PMR,"115 BIS Avenue Jean Perrot",5861,20080717000000,,,"Bon Etat","Bon Etat","45.17101783571701,5.740279446687906"
1407,Livraison,"102 Cours Jean Jaurès",2242,20120914000000,,,"Bon Etat","Bon Etat","45.18254584113349,5.716990628597121"
3939,Livraison,"102 Cours Jean Jaurès",2242,20230417000000,,,"Bon Etat","Bon Etat","45.18250491395531,5.716976358314593"
4394,PMR,"8 Rue Joseph Bouchayer",7487,20230608000000,,,"Bon Etat","Bon Etat","45.17651942215756,5.7141281978086145"
842,Livraison,"6 Rue Doudart de Lagrée",808,20101201000000,,,Dégradé,"Bon Etat","45.18454837036971,5.7221767553208585"
3404,Livraison,"54 Rue des Eaux Claires",,20160107000000,,,"Bon Etat",Absent,"45.17502504839051,5.708507787352696"
1371,Livraison,"34 Chemin de la Blanchisserie",,20120910000000,,,,,"45.183513922844654,5.746874139264145"
169,PMR,"2 Rue de Mortillet",388,20080717000000,,,Dégradé,"Bon Etat","45.19838144977383,5.741797952653348"
3605,"Vélos électriques et trotinettes en libre-service","10 Rue de l'Alma",943,20230317000000,,,"Bon Etat",,"45.19108404287194,5.734082223100005"
444,PMR,"19 Rue du Commandant L'Herminier",5827,20140428000000,,,"Bon Etat","Bon Etat","45.192242843548165,5.734934600383274"
2884,Livraison,"2 Rue Albert Recoura",1700,20140505000000,,,"Bon Etat","Bon Etat","45.178602455907665,5.742251619382528"
1584,PMR,"2 Rue Albert Recoura",1700,20130607000000,,,"Bon Etat","Bon Etat","45.17860973016742,5.742286350725187"
3842,"Vélos électriques et trotinettes en libre-service","1 Rue de Narvik",6793,20230405000000,,,"Bon Etat",,"45.182653047254696,5.7281254424721615"
